"Table 1.1  All Returns: Selected Income and Tax Items, by Size and Accumulated
Size of Adjusted Gross Income, Tax Year 2011",,,,,,,,,,,,,,,,,,,,
(All figures are estimates based on samples—money amounts are in thousands of dollars except as indicated),,,,,,,,,,,,,,,,,,,,
"Size and accumulated size
of adjusted gross income",All returns,,,,,Taxable returns,,,,,,,,,,,,,,
,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,,"Number
of
returns","Percent
of total","Adjusted gross
income less deficit",,Taxable income,,,Income tax after credits,,,Total income tax,,,,
,,,,,,,,,,"Number of
returns",Amount,"Percent of
total","Number of
returns",Amount,"Percent of
total",Amount,Percent of,,,"Average
total income 
tax (dollars)"
,,,Amount,"Percent
of total","Average
(dollars)",,,Amount,"Percent
of total",,,,,,,,Total,"Taxable
income","Adjusted gross
income less deficit",
,,,,,,,,,,,,,,,,,,,,
"$200,000 or more","4,700,056",3.2,"2,432,371,643",29.0,"517,520","4,680,493",5.1,"2,421,049,214",31.5,"4,675,950","2,012,754,336",36.0,"4,680,492","530,496,485",50.7,"530,496,852",50.7,26.4,21.9,"113,342"
"$100,000 or more","19,455,822",13.4,"4,409,777,850",52.7,"226,656","19,321,262",21.1,"4,384,053,403",57.0,"19,312,786","3,471,947,969",62.2,"19,321,261","779,464,104",74.6,"779,464,471",74.6,22.5,17.8,"40,342"
"$75,000 or more","31,382,223",21.6,"5,441,389,037",65.0,"173,391","31,004,439",33.8,"5,395,153,200",70.1,"30,994,791","4,178,694,936",74.8,"31,004,438","875,483,100",83.7,"875,483,467",83.7,21.0,16.2,"28,237"
"$50,000 or more","50,331,501",34.6,"6,607,200,646",78.9,"131,274","48,677,301",53.1,"6,485,786,960",84.3,"48,666,120","4,903,658,949",87.8,"48,677,300","968,806,101",92.7,"968,806,468",92.7,19.8,14.9,"19,903"
"$40,000 or more","61,315,474",42.2,"7,098,914,777",84.8,"115,777","57,856,332",63.1,"6,897,794,953",89.7,"57,844,927","5,165,201,478",92.5,"57,856,331","999,361,852",95.6,"999,362,219",95.6,19.3,14.5,"17,273"
"$30,000 or more","75,835,553",52.2,"7,603,983,800",90.8,"100,269","68,243,632",74.4,"7,261,204,584",94.4,"68,231,890","5,384,049,015",96.4,"68,243,631","1,024,093,199",98.0,"1,024,093,566",98.0,19.0,14.1,"15,006"
"$25,000 or more","84,823,166",58.3,"7,850,451,120",93.7,"92,551","73,546,874",80.2,"7,406,885,163",96.3,"73,535,083","5,463,393,543",97.8,"73,545,766","1,033,009,565",98.8,"1,033,010,540",98.8,18.9,13.9,"14,046"
"$20,000 or more","95,033,872",65.4,"8,079,632,572",96.5,"85,018","78,877,539",86.0,"7,526,750,940",97.8,"78,865,729","5,521,404,641",98.9,"78,876,431","1,039,327,191",99.4,"1,039,328,167",99.4,18.8,13.8,"13,176"
"$15,000 or more","106,913,930",73.5,"8,286,602,713",99.0,"77,507","84,161,799",91.8,"7,619,125,984",99.0,"84,148,668","5,561,049,983",99.6,"84,160,692","1,043,205,417",99.8,"1,043,206,454",99.8,18.8,13.7,"12,395"
"$10,000 or more","119,839,761",82.4,"8,448,050,268",100.9,"70,495","89,199,582",97.3,"7,682,850,530",99.9,"89,186,037","5,579,357,717",99.9,"89,198,475","1,044,915,222",99.9,"1,044,916,259",99.9,18.7,13.6,"11,714"
"$5,000 or more","132,226,477",91.0,"8,542,321,099",102.0,"64,604","91,374,537",99.7,"7,699,865,504",100.1,"91,359,219","5,583,441,855",100.0,"91,373,429","1,045,340,842",100.0,"1,045,341,879",100.0,18.7,13.6,"11,440"
$1 or more,"142,919,316",98.3,"8,569,840,708",102.3,"59,963","91,688,471",100.0,"7,700,762,298",100.1,"91,671,874","5,583,802,495",100.0,"91,687,364","1,045,386,528",100.0,"1,045,387,565",100.0,18.7,13.6,"11,402"
All returns,"145,370,240",100.0,"8,374,142,977",100.0,"57,606","91,694,201",100.0,"7,693,198,033",100.0,"91,671,874","5,583,802,495",100.0,"91,693,088","1,045,509,234",100.0,"1,045,510,793",100.0,18.7,13.6,"11,402"
   [1] Percentage not computed.,,,,,,,,,,,,,,,,,,,,
   [2] Less than 0.05 percent.,,,,,,,,,,,,,,,,,,,,
    NOTE: Detail may not add to totals because of rounding.,,,,,,,,,,,,,,,,,,,,
"    Source: IRS, Statistics of Income Division, July 2013",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
